#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.328641872447 4.523395112061072 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.7081332502601 3.407139466913573 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.22348732275697 1.547044891944154 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.39698945603106 -36.1421932591083 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.06268692176081 -21.725793808838127 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.09888885864717 -43.62436377272883 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.85207492587827 -1.9532786532635138 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.48717307085354 4.45283424993517 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.72447336831226 2.993068285545208 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.0312204156198 -24.424474177514604 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 230.28508696854885 -63.23031983140773 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.8106421086445 -44.583155963308776 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.40965028514853 -52.3869100798729 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.6085194691799 2.3158551881419265 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.22348732275697 1.547044891944154 100000.0 0.0 1575420000.0
