#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.70834540263928 4.54123660533137 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.08919033884393 3.4076638930330443 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.6042834113796 1.5789461859433118 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.3173600394455 -34.941002949854095 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.0787308836521 -22.881972578816175 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.1798726894447 -42.704242605000275 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.23788077228204 -3.02898728721517 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 234.86798343268202 4.490793508873031 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.1072323217989 3.0419738435523502 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.58632441253343 -24.902467297751393 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 227.5534354353013 -63.43557855805429 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.24582066374657 -44.03921993062391 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 268.8421030681678 -53.2048436722265 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 254.966202558384 3.5110580610749156 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.6042834113796 1.5789461859433118 100000.0 0.0 1575420000.0
