#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.94464637318305 4.505550445042891 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.32278965651756 3.406617994171432 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.8384320784722 1.5155740400564621 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.49993113584875 -37.32235723663987 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.02126164065018 -20.569774990280013 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.0364240148339 -44.53074280057002 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.45890824035905 -0.8856637095216984 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.10208274460481 4.415016064004519 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.33746344043305 2.9445367286534347 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.46985156436574 -23.947900431790583 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 232.9596214786708 -62.97773984344881 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.3814814079365 -45.119790354949835 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 271.91362948741835 -51.55598744286924 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.2492113488035 1.1265456809944472 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.8384320784722 1.5155740400564621 100000.0 0.0 1575420000.0
