#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.76741470635503 4.4814554722097855 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 265.143747937362 3.4059271401622486 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 261.65982108321845 1.4737483796650273 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 249.026392153269 -38.88238437115662 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 194.27558979107818 -19.009661509483355 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 192.3313453020362 -45.732974924764356 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 221.26513279753127 0.5434241199794065 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.92338981559845 4.36416652605585 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 266.1562250595584 2.879583312490234 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 282.0501241283308 -23.306453502031854 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 236.46819215767772 -62.565201918385156 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 255.15975293029865 -45.833087733818004 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 273.8478923428954 -50.415412142362115 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 257.11025032740196 -0.47022662761486017 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 261.65982108321845 1.4737483796650273 100000.0 0.0 1575420000.0
