#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.10079135218416 4.500924709061055 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.47858651180013 3.4064915691702975 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.9943080710028 1.5074819784059972 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.7871504107887 -37.62523883705675 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.26305676548262 -20.26977411082025 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.27988853578586 -44.76377652549398 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.61222127005794 -0.6098368495379144 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.2579451042845 4.405228323478051 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.49283324742316 2.932007230889854 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.5796437456617 -23.824407757210338 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 233.6407451210287 -62.904684117266356 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.52759987174025 -45.25790390872601 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 272.2910378792938 -51.338319318263714 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.41224968329067 0.8187911556046751 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.9943080710028 1.5074819784059972 100000.0 0.0 1575420000.0
