#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.5354203028425 4.51734458086671 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.9144538461518 3.406968733904693 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.4299033517424 1.5363232250650212 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.76587326737464 -36.545085932964795 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.3880260101573 -21.33341345315547 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.41219220550758 -43.93351567625672 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.0560646273578 -1.5900366377646615 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.6935791147515 4.439989116332756 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.9302253987261 2.976562597081731 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.17801720227226 -24.262568143952784 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 231.19675258705843 -63.14979648108773 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.00093554742597 -44.7660895239044 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.92425528866846 -52.106290837138005 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.8233579968703 1.9115659636874067 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.4299033517424 1.5363232250650212 100000.0 0.0 1575420000.0
