#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.0458799497627 4.502510685274693 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.42379518741024 3.406538852679358 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.93948917626733 1.510252305264214 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.687153935518 -37.521721403993226 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.17897720414283 -20.372456985152937 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.1949104201763 -44.68411373103417 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.55829973942616 -0.7041886395196876 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.2031307509101 4.408580984707755 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.43818733063137 2.9362967274986205 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.54061231564924 -23.86666505952696 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 233.40659276116438 -62.93002844904849 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.47604310954023 -45.21067916555675 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 272.16080774049897 -51.41291011901089 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.3549558793667 0.9240938085402318 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.93948917626733 1.510252305264214 100000.0 0.0 1575420000.0
