#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.07128188993426 4.530767163380133 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.4513318633222 3.407359780372136 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.9665753750636 1.5601714253633066 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.9466544136512 -35.64864008481393 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.65777643371464 -22.203298601052015 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.71545162232806 -43.24602353787953 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.5976310494587 -2.396553168994441 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.23026901178454 4.468497289613193 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.46837076633057 3.0132239661976112 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.8465446258552 -24.621704021093688 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 229.16177888039854 -63.32093841687913 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.57494884970643 -44.359399520979224 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 269.76847667722035 -52.72635952347539 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.34176547959893 2.8087598050970426 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.9665753750636 1.5601714253633066 100000.0 0.0 1575420000.0
