#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.76324079283975 4.53967388453377 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.14396691882536 3.407616771513529 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.65908180511616 1.576134053511922 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.4114035359526 -35.047015891294265 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.16634654443305 -22.780742593626112 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.26003619335657 -42.78535931154701 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.29237450624208 -2.934471688329111 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 234.92278123656988 4.487462775841196 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.1618585855597 3.0376751634087715 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.6259424304279 -24.860556432395455 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 227.79514097225436 -63.41954722583415 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.29544819676207 -44.08714292643982 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 268.9824029514264 -53.133777790470425 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.02292995604014 3.4061684221264446 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.65908180511616 1.576134053511922 100000.0 0.0 1575420000.0
