#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.40880035685882 4.491998782754443 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.78592399039667 3.4062274254466063 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 261.301803211043 1.4919574536343303 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 248.3531401058307 -38.204498499504005 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.73234072756824 -19.692183317049516 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.76061432452397 -45.20994699628119 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.91429509078048 -0.08018065664112105 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.56541191453815 4.386387409259844 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.79935486116693 2.907925918870786 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.7980345385982 -23.586862408974852 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 234.94822130764183 -62.75555409127635 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.81826788582933 -45.52254057299223 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 273.014814973984 -50.91700076416074 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.73413930381247 0.22721944224344345 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 261.301803211043 1.4919574536343303 100000.0 0.0 1575420000.0
