#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.48052049640629 4.518920651646564 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.8596734237178 3.407016292728975 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.3750975066607 1.5391107156111568 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.66848261614243 -36.44047638805496 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.30250679958183 -21.43551534369961 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.32932056974752 -43.85322000339811 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.00192380301507 -1.684467761985698 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.6387761358161 4.443332962434793 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.8755919030666 2.9808564728964857 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.1387474097202 -24.304681298571982 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 230.95903170278422 -63.17126790009734 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.95021197351264 -44.718564519807785 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.7899027548897 -52.17945166033048 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.76633063876648 2.016707595343177 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.3750975066607 1.5391107156111568 100000.0 0.0 1575420000.0
