#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.6071094981227 4.544120230471274 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 262.98817367263047 3.4077502494131324 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.5032269077127 1.584140771915382 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.14444225099638 -34.745036912709836 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 190.91668562926353 -23.06868896815234 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.0324687826664 -42.55434250169441 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.13731436478645 -3.203489056608165 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 234.76692740777668 4.496938889499852 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.0064938562926 3.049909293695491 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.51322452866646 -24.9798034873279 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 227.10669834227463 -63.464157053378344 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.1545075207681 -43.95067444453988 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 268.58206355180965 -53.3356374143317 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 254.86163284477854 3.7046508447817925 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.5032269077127 1.584140771915382 100000.0 0.0 1575420000.0
