#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.1725207683231 4.527869115844518 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.5523503846431 3.407272958019637 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.0676373866023 1.5550026352472246 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.1231969170974 -35.84308577747734 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.8174537001187 -22.01558733754563 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.86579166138407 -43.39503139957019 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.697787779727 -2.2221336795379307 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.33132854125537 4.462337661345224 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.5691150014252 3.00529370748556 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.91925103879794 -24.544142848173113 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 229.6044742175992 -63.28628737393643 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.6674612102298 -44.44750898558042 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.02181697403364 -52.59318942351639 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.44664491360126 2.614875969453385 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.0676373866023 1.5550026352472246 100000.0 0.0 1575420000.0
