#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.68727065716325 4.512973308051335 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.0659736049966 3.406838908408698 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.58149397870983 1.528611771949529 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.03666685984254 -36.83423658105608 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.62392776852988 -21.05036873279796 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.64253571306847 -44.15556006286641 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.20569197637178 -1.3285706397276558 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.84516103664131 4.430727255021389 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.0813371650959 2.964674682082426 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.2864564167923 -24.14587459741748 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 231.85318572931735 -63.088369915742845 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.14162902291136 -44.89754649538421 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 271.29401960754456 -51.90295561173873 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.9812220612157 1.6203207026204118 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.58149397870983 1.528611771949529 100000.0 0.0 1575420000.0
