#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.84341879862325 4.508473804897368 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.22178240357925 3.406705196747973 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.73737629058206 1.520699143290879 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.31704049460163 -37.13058705510525 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.86533436165723 -20.759007338786702 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.88095572354732 -44.38329062761343 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.35937558756603 -1.0599021772690536 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.00103354372328 4.421199709295032 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.23672657837994 2.9524589255481595 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.3977945026637 -24.02582896386067 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 232.52525171968244 -63.022244766331994 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.2869409235973 -45.03242670526918 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 271.6709275286484 -51.69286016246385 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.14374264979546 1.320858086911517 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.73737629058206 1.520699143290879 100000.0 0.0 1575420000.0
