#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.5058732090975 4.546999496332202 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 262.88715656946505 3.407837004581639 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.40217117621546 1.5893413104841205 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 244.9722867088855 -34.54875100210314 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 190.75411483537928 -23.255182475709248 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 188.8856835503485 -42.404253136811654 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.0366536251578 -3.3780062297514277 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 234.66587107684947 4.503081013047976 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 263.9057554818798 3.057846515000536 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.4400392149869 -25.05709014971815 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 226.65919001402733 -63.49141306424809 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.06344912656934 -43.86203611506765 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 268.3205450287862 -53.46590321040437 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 254.75712391716192 3.8981773220580838 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.40217117621546 1.5893413104841205 100000.0 0.0 1575420000.0
