#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.20202987394362 4.497993569941564 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.5796042657961 3.406404672493864 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 261.0953771908442 1.5023720736462898 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.97229848328058 -37.81606176163028 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.4177860898585 -20.080063987883605 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.4371809269277 -44.910682228100306 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.71157915103902 -0.43567238363066896 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.35900538327502 4.399036989561541 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.59358201054397 2.9240885483507983 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.65150054152963 -23.746358760367656 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 234.07190899638977 -62.856926785568156 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.62285649150851 -45.345010488900016 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 272.5303060943813 -51.200261859783375 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.5179567413612 0.6243502139054571 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 261.0953771908442 1.5023720736462898 100000.0 0.0 1575420000.0
