#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.96574548687013 4.533782240218843 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.34602424003975 3.4074501010833202 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.86122377104607 1.565562048194813 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.76352266723632 -35.445736115162255 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.4908287700313 -22.398607512967406 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.55945332204712 -43.0905991509765 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.49313054890953 -2.578261430874894 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.1249199065613 4.474911654848372 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.3633510764603 3.021487387350352 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.77063975718465 -24.702446084421386 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 228.69955997014685 -63.35564373977329 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.4787798871997 -44.267517627481304 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 269.5029800021184 -52.86454107305402 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.23251097690462 3.0106567421531247 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.86122377104607 1.565562048194813 100000.0 0.0 1575420000.0
