#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.91511454343816 4.535341058850012 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.2955110733971 3.4074866063199316 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.810687664217 1.568356569546526 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.67287736330096 -35.34009332651436 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.40804152610582 -22.500079683791284 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.48284492378497 -43.00969652447501 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.4429988195367 -2.6727634765334196 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.07438594172447 4.478235922021871 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.3129878268232 3.0257740138070828 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.73537983904447 -24.744420791123158 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 228.463049957107 -63.37313653763937 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.43312804393528 -44.219709148198966 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 269.36855033625994 -52.93618785241378 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.1799750414349 3.115606409713534 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.810687664217 1.568356569546526 100000.0 0.0 1575420000.0
