#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.27375956196315 4.524967755905363 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.65337001738527 3.4071862704416747 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.16870055126384 1.5498393881686952 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.3005439850398 -36.0371934638857 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.97662999073256 -21.82766831627015 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.01678363372054 -43.54384185333623 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.7978597778005 -2.0477357188395096 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.43238813964808 4.4561737629656415 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.66985932919863 2.9973636427498827 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.991873424358 -24.46653271919627 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 230.04619580873427 -63.25033543824211 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.76023455586488 -44.535521710247465 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.2737376464782 -52.45952050025153 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.55159627200737 2.420932941114931 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.16870055126384 1.5498393881686952 100000.0 0.0 1575420000.0
