#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.81386502341076 4.5382303088617855 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.1944817703877 3.4075737675654363 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.70961652849167 1.5735403555497434 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.49836710838306 -35.14479048959266 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.2470399679389 -22.687242034998647 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.33414736216557 -42.86018664530687 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.34260518638 -2.8472312609396853 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 234.9733162113954 4.484387888567378 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.2122342009081 3.033707827726939 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.66244231800886 -24.821857407218193 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 228.01798969372555 -63.40440650094394 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.3412768737674 -44.13135524721347 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 269.11148248591917 -53.068044060990026 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.07526178177756 3.3093303389899096 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.70961652849167 1.5735403555497434 100000.0 0.0 1575420000.0
