#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 230.86449020612008 4.536785770117606 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.2449970046978 3.407530289665453 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 259.7601525557638 1.5709480345323443 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 245.58552460948104 -35.24248284322454 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 191.3276057191859 -22.59368771699118 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 189.4084181975578 -42.93496567726545 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 219.39281358864866 -2.7599954923749 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.02385114121034 4.481312936686061 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.2626110024056 3.029740304161622 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 280.6989225356751 -24.783144997086385 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 228.24062869106936 -63.38893621700824 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.38717023719647 -44.17554422979872 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 269.24019861003273 -53.00218058167326 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.1276106160069 3.2124763489393473 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 259.7601525557638 1.5709480345323443 100000.0 0.0 1575420000.0
