#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.66617196244255 4.484404347607939 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 265.0427266331039 3.40601449839898 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 261.5587437270115 1.4788250688011402 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 248.83615854238093 -38.69370465905171 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 194.12339702829718 -19.200351405788858 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 192.1699548709213 -45.5873000012492 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 221.16614244999965 0.369440520349388 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.8223245791137 4.370374311355444 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 266.0554682767887 2.887493889706072 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.97871189291095 -23.38476389635009 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 236.04466963481312 -62.619900482344285 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 255.06292976538828 -45.74655327145609 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 273.61588697588337 -50.555945782265 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 257.00399578091674 -0.2755321503282257 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 261.5587437270115 1.4788250688011402 100000.0 0.0 1575420000.0
