#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 231.53114418687355 4.517465992454098 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 263.91018696778866 3.406972440376954 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.42563415326055 1.5365375315851977 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 246.7583198978816 -36.53704251808151 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 192.38140048828936 -21.341269677685588 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 190.4057577656336 -43.92734090372571 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.0518476906137 -1.5973002515127401 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 235.6893104884271 4.440247142007111 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 264.9259692695148 2.976893022717112 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.17494400008576 -24.265808166204234 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 231.17842628047342 -63.151461038455025 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 253.9969779182662 -44.76243475691203 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 270.9138830701773 -52.111923296917304 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 255.81891818176086 1.9196549320875669 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.42563415326055 1.5365375315851977 100000.0 0.0 1575420000.0
