#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.05017220203487 4.502389181749104 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.42807819595174 3.406535094673879 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 260.9437743708052 1.510039477501796 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 247.694904994743 -37.52968855747817 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.18551769078385 -20.36456014898317 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.20150784811733 -44.69024354034717 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.5625162161332 -0.6969304201530496 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.20741548015175 4.40832287127094 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.4424589016202 2.9359668443129348 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.5436837948169 -23.863415469679413 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 233.42468431699365 -62.92809254470653 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.4800741886197 -45.21431291372299 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 272.17090769146375 -51.407177566387176 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.3594298153761 0.9159935010067812 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 260.9437743708052 1.510039477501796 100000.0 0.0 1575420000.0
