#format:name ra_d dec_d i spi freq0
GSAT-8_(GAGAN/PRN_127) 232.35818050992987 4.4934686407805176 100000.0 0.0 1575420000.0
GSAT-10_(GAGAN/PRN_128) 264.73541560669173 3.406271024060233 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(PRN_144) 261.25126780460124 1.494505690978804 100000.0 0.0 1575420000.0
GPS_BIIF-8__(PRN_03) 248.259546097772 -38.10951605464042 100000.0 0.0 1575420000.0
GPS_BIII-4__(PRN_14) 193.655500808982 -19.787243090055906 100000.0 0.0 1575420000.0
GSAT0102_(GALILEO-FM2) 191.68114619930995 -45.13674108509454 100000.0 0.0 1575420000.0
GSAT0218_(GALILEO_22) 220.86469483328497 -0.16722814377940587 100000.0 0.0 1575420000.0
BEIDOU-2_G5_(C05) 236.51488176827422 4.389486367983092 100000.0 0.0 1575420000.0
BEIDOU-2_G6_(C02) 265.7489798782103 2.9118833273313207 100000.0 0.0 1575420000.0
BEIDOU-3S_IGSO-1S_(C31) 281.7621981101564 -23.625940658930933 100000.0 0.0 1575420000.0
BEIDOU-3S_M2S_(C58) 234.73414525039192 -62.78085804755595 100000.0 0.0 1575420000.0
BEIDOU-2_IGSO-6_(C13) 254.7703235016461 -45.479102656744985 100000.0 0.0 1575420000.0
BEIDOU-3_M8_(C28) 272.8966791845995 -50.98654208641313 100000.0 0.0 1575420000.0
BEIDOU-3_M19_(C41) 256.68117906949703 0.3244941372770718 100000.0 0.0 1575420000.0
BEIDOU-3_G2_(C60) 261.25126780460124 1.494505690978804 100000.0 0.0 1575420000.0
